id,data_anuncio,bairro,tipo_imovel,area_m2,quartos,banheiros,vagas_garagem,idade_imovel,preco_anunciado,status_conservacao
105,2023-12-10,Grajaú,Casa,200,4,3,3,25,580000,Usado
106,2023-12-12,Jardins,Casa,600,5,6,8,20,10500000,Usado
107,2023-12-15,Centro,Studio,31,1,1,0,4,430000,Novo
108,2023-12-18,Vila Olimpia,Apartamento,95,3,2,2,11,1180000,Usado
109,2023-12-20,Moema,Apartamento,118,3,2,2,14,1350000,Reformado
110,2023-12-22,Grajaú,Casa,145,3,2,2,18,460000,Novo
111,2024-01-05,Jardins,Apartamento,135,3,2,2,15,1750000,Usado
112,2024-01-07,Centro,Apartamento,42,1,1,0,55,270000,Precisa Reformar
113,2024-01-10,Vila Olimpia,Studio,36,1,1,1,3,630000,Novo
114,2024-01-15,Jardins,Casa,450,4,5,5,12,6800000,Novo
115,2024-01-20,Centro,Apartamento,60,2,1,0,40,385000,Usado
116,2024-01-22,Moema,Apartamento,108,3,2,2,18,1150000,Usado
117,2024-01-25,Vila Olimpia,Apartamento,80,2,2,1,,920000,Usado
118,2024-02-01,Grajaú,Casa,130,3,2,2,30,420000,Usado
119,2024-02-03,Jardins,Apartamento,200,3,3,3,22,2900000,Reformado
120,2024-02-05,Centro,Studio,26,1,1,0,2,415000,Novo
121,2024-02-10,Moema,Apartamento,145,3,3,3,9,1780000,Novo
122,2024-02-12,Grajaú,Casa,165,3,2,2,20,510000,Novo
123,2024-02-15,Vila Olimpia,Apartamento,90,2,2,2,7,1080000,Novo
124,2024-02-18,Jardins,Cobertura,480,5,7,6,15,9200000,Usado
125,2024-02-20,Centro,Apartamento,52,2,1,0,45,340000,Usado
126,2024-02-22,Moema,Apartamento,122,3,3,2,11,1420000,Usado
127,2024-02-25,Grajaú,Casa,185,3,3,2,25,540000,Usado
128,2024-03-01,Jardins,Apartamento,175,3,3,2,16,2350000,Reformado
129,2024-03-05,Centro,Studio,29,1,1,0,3,440000,Novo
130,2024-03-10,Vila Olimpia,Apartamento,105,3,2,2,12,1250000,Usado
131,2024-03-12,Moema,Casa,290,4,4,4,18,3400000,Usado
132,2024-03-15,Grajaú,Casa,100,2,1,1,45,295000,Precisa Reformar
133,2024-03-20,Jardins,Apartamento,130,3,2,2,10,1650000,Novo
134,2024-03-22,Vila Olimpia,Studio,32,1,1,0,5,570000,Usado
135,2024-03-25,Centro,Apartamento,50,1,1,0,35,330000,Usado
136,2024-04-01,Moema,Apartamento,115,3,2,2,14,1300000,Usado
137,2024-04-05,Grajaú,Casa,210,4,3,3,28,590000,Usado
138,2024-04-10,Jardins,Casa,380,4,4,4,25,4800000,Usado
139,2024-04-15,Vila Olimpia,Apartamento,95,3,2,2,10,1150000,Novo
140,2024-04-20,Centro,Apartamento,45,1,1,0,52,285000,Usado
141,2024-05-01,Jardins,Apartamento,220,4,4,3,15,3500000,Reformado
142,2024-05-03,Centro,Studio,30,1,1,0,2,425000,Novo
143,2024-05-05,Vila Olimpia,Apartamento,85,2,2,2,12,1000000,Usado
144,2024-05-07,Moema,Apartamento,140,3,3,3,8,1700000,Novo
145,2024-05-10,Grajaú,Casa,120,3,2,2,22,410000,Usado
146,2024-05-12,Jardins,Apartamento,160,3,3,2,20,2050000,Usado
147,2024-05-15,Centro,Apartamento,55,2,1,0,48,355000,Usado
148,2024-05-18,Vila Olimpia,Studio,34,1,1,1,4,600000,Novo
149,2024-05-20,Moema,Apartamento,105,3,2,2,16,1180000,Usado
150,2024-05-22,Grajaú,Casa,150,3,2,2,18,470000,Novo
151,2024-06-01,Jardins,Casa,550,5,6,6,12,8200000,Novo
152,2024-06-03,Centro,Apartamento,62,2,1,0,40,400000,Reformado
153,2024-06-05,Vila Olimpia,Apartamento,98,3,2,2,9,1220000,Novo
154,2024-06-07,Moema,Apartamento,130,3,3,2,12,1520000,Usado
155,2024-06-10,Grajaú,Casa,110,2,2,2,15,385000,Novo
156,2024-06-12,Jardins,Apartamento,145,3,2,2,28,1800000,Reformado
157,2024-06-15,Centro,Studio,28,1,1,0,1,435000,Novo
158,2024-06-18,Vila Olimpia,Apartamento,75,2,2,1,18,840000,Usado
159,2024-06-20,Moema,Casa,260,4,4,3,25,2900000,Usado
160,2024-06-22,Grajaú,Casa,195,3,3,2,20,530000,Novo
